PLAYERID,AGE,EXPERIENCE,HEIGHT,WEIGHT,SALARY,FG,FGA,FGP,DRB,POINTS,FT,FTP
beaubro01,24,4,180,170,1156080,65,176,0.369,48,181,30,0.789
belinma01,27,6,192.5,192,2380270,220,437,0.503,132,570,51,0.785
bellra01,35,,192.5,204,3000000,81,174,0.466,43,217,21,0.84
bibbymi01,33,,182.5,190,5564767,35,124,0.282,54,103,6,0.75
biedran01,27,9,207.5,240,9000000,1,1,1,15,3,1,0.167
billuch01,37,16,187.5,202,13150000,24,79,0.304,24,72,10,0.833
blairde01,24,4,197.5,265,918000,169,303,0.558,190,385,47,0.61
blakest01,33,10,187.5,172,4000000,82,212,0.387,86,238,26,0.813
blatcan01,27,8,207.5,235,5900000,199,419,0.475,166,503,96,0.744
bledser01,24,3,182.5,190,1485000,151,311,0.486,92,431,101,0.789
boganke01,33,10,192.5,215,1600000,3,6,0.5,3,12,3,1
bogutan01,29,8,210,245,11000000,187,294,0.636,373,392,18,0.346
bonnema01,33,9,205,240,3000000,50,112,0.446,69,137,4,0.667
booketr01,26,3,197.5,240,1204560,120,220,0.545,143,257,17,0.531
boozeca01,32,11,202.5,258,14400000,281,622,0.452,299,665,103,0.769
boshch01,29,10,205,228,14500000,305,581,0.525,261,791,145,0.81
boykiea01,35,,162.5,135,1352181,12,36,0.333,11,39,13,0.867
brackcr01,24,,205,230,1306920,9,33,0.273,10,22,1,0.5
bradlav01,23,3,185,180,1418160,274,632,0.434,141,660,65,0.756
brandel01,34,14,200,275,15959099,85,155,0.548,127,199,29,0.707
breweco01,27,6,202.5,185,3703472,225,489,0.46,86,582,85,0.72
brewero02,28,7,197.5,220,4790000,3,15,0.2,12,7,0,0
brockjo01,24,,197.5,255,1000000,15,45,0.333,42,37,7,0.467
brownde04,24,,197.5,225,762195,212,409,0.518,141,524,94,0.667
brownkw01,30,12,207.5,270,1229255,17,37,0.459,51,41,7,0.368
brownsh01,28,7,190,205,2200000,4,14,0.286,7,13,5,0.714
bryanko01,35,17,195,200,24806250,31,73,0.425,24,83,18,0.857
budinch01,25,4,197.5,218,780871,38,107,0.355,35,104,12,0.8
butleca01,33,11,197.5,217,10561960,123,322,0.382,132,336,45,0.849
butlera01,34,10,197.5,205,2400000,25,47,0.532,14,66,2,1
bynuman01,26,7,210,285,13700000,85,203,0.419,79,202,32,0.762
bynumwi01,31,6,180,185,3250000,94,215,0.437,42,246,47,0.783
caldejo01,32,8,187.5,210,9000000,222,490,0.453,99,604,34,0.829
cambyma01,38,17,207.5,220,11749832,17,53,0.321,56,42,8,0.421
cardibr01,34,,200,245,1352181,14,55,0.255,30,43,5,0.833
carrode01,27,4,200,212,1085400,175,370,0.473,188,470,64,0.762
carroma01,32,,195,212,4300000,0,0,0,0,0,0,0
cartean01,36,,182.5,190,1352181,17,53,0.321,28,47,8,0.8
cartevi01,37,15,195,215,17300000,199,481,0.414,137,580,106,0.822
casspom01,25,4,202.5,225,1254480,140,321,0.436,151,390,61,0.67
chalmma01,27,5,182.5,190,854389,143,310,0.461,96,413,76,0.76
chandty01,31,12,212.5,235,12600000,88,144,0.611,160,224,48,0.608
chandwi01,26,6,200,220,2130482,217,516,0.421,157,607,86,0.735
childjo01,30,7,200,210,6500000,0,0,0,3,0,0,0
clarkea01,26,4,205,225,1898760,88,235,0.374,105,229,13,0.591
collida01,26,4,180,160,1361040,191,411,0.465,96,548,125,0.868
collija04,34,12,210,255,1352181,9,29,0.31,38,41,23,0.719
collini01,33,9,202.5,255,13250000,91,164,0.555,111,231,47,0.734
conlemi01,26,6,182.5,180,4913007,289,631,0.458,92,776,132,0.841
cookbr01,31,9,202.5,234,1146337,31,98,0.316,53,81,9,0.9
cookda02,25,6,192.5,205,2169857,51,167,0.305,54,137,9,0.75
couside01,23,3,207.5,270,3374640,357,739,0.483,376,997,283,0.72
crawfja01,33,13,195,185,10800000,331,795,0.416,99,996,212,0.862
crawfjo02,25,3,190,195,1042320,216,529,0.408,119,609,120,0.876
cunnida01,26,4,200,230,762195,136,303,0.449,146,286,14,0.583
curryed01,30,,210,295,11530592,4,8,0.5,2,9,1,0.25
curryst01,25,4,187.5,185,2913840,410,893,0.459,182,1180,199,0.861
dalemsa01,32,11,207.5,250,13428129,128,217,0.59,198,322,66,0.733
dampier01,36,,207.5,265,1129469,1,8,0.125,15,2,0,0
daniema01,32,10,195,200,2470000,132,351,0.376,102,324,40,0.741
davisba01,32,,187.5,209,13000000,68,184,0.37,43,178,16,0.667
davised01,24,3,205,225,1919160,124,226,0.549,130,285,37,0.529
davisgl01,28,6,202.5,289,3300000,225,493,0.456,192,531,77,0.675
dayeau01,25,4,207.5,200,1803720,3,11,0.273,5,8,2,0.667
delfica01,30,8,195,230,3500000,251,620,0.405,202,708,48,0.857
denglu01,28,9,200,220,11345000,241,544,0.443,167,661,147,0.795
derozde01,24,4,197.5,220,2453880,372,872,0.427,183,1068,278,0.797
diawbo01,31,10,200,215,9000000,192,347,0.553,131,458,48,0.762
dioguik01,28,6,200,250,608772,0,2,0,1,2,2,1
diopde01,31,12,210,300,6478600,8,27,0.296,41,16,0,0
doolike01,32,13,187.5,196,2000000,10,21,0.476,1,31,6,0.857
douglto01,27,4,185,190,1071000,33,87,0.379,22,91,6,0.6
dragigo01,27,5,190,180,1972000,338,661,0.511,120,960,213,0.78
dudleja01,28,6,197.5,225,2151068,163,367,0.444,90,419,26,0.65
duhonch01,30,,182.5,185,3500000,47,123,0.382,57,133,6,0.462
duncati01,37,16,207.5,248,18700000,291,593,0.491,370,726,144,0.702
dunlemi02,33,11,202.5,220,10561984,200,458,0.437,167,547,75,0.806
duranke01,25,6,202.5,215,6053663,529,1033,0.512,359,1620,446,0.878
ebankde01,23,3,202.5,215,473604,24,73,0.329,31,65,11,0.786
ellinwa01,26,4,190,200,1078800,32,83,0.386,22,83,5,0.833
ellismo01,28,8,187.5,175,11000000,370,803,0.461,149,1003,226,0.799
elsonfr01,35,,210,235,1146337,1,3,0.333,1,2,0,0
erdense01,25,,210,240,473604,39,74,0.527,52,99,21,0.512
evansje01,26,3,202.5,196,473604,106,200,0.53,110,246,34,0.68
evansma01,33,,192.5,220,2500000,45,112,0.402,16,117,10,0.769
evansre01,33,11,200,245,5080000,23,59,0.39,96,81,35,0.538
evansty01,24,4,195,220,3880920,189,471,0.401,141,521,136,0.814
eyengch01,22,,192.5,210,1020960,6,25,0.24,10,17,4,0.5
farmajo01,27,6,185,180,3750000,81,195,0.415,55,213,22,0.733
favorde01,22,3,205,246,4133280,232,457,0.508,280,581,117,0.676
feltora01,29,8,182.5,198,7500000,147,358,0.411,70,368,39,0.684
fernaru01,26,,195,185,1246680,99,225,0.44,56,268,30,0.698
fesenky01,25,,212.5,288,1087500,2,5,0.4,7,8,4,0.667
fieldla01,25,3,197.5,210,473604,21,59,0.356,37,56,14,0.636
fishede01,39,17,182.5,200,3700000,84,215,0.391,65,251,34,0.81
flynnjo01,22,,180,185,3192000,46,131,0.351,31,131,29,0.744
forbega01,26,2,197.5,220,473604,112,271,0.413,75,319,66,0.725
fordtj01,28,,180,165,8500000,19,43,0.442,15,51,11,0.786
fosteje01,35,,207.5,236,6655000,9,18,0.5,24,25,6,0.667
foyera01,30,7,190,210,4250000,194,478,0.406,113,576,87,0.861
fryech01,30,7,207.5,248,5200000,226,504,0.448,213,612,50,0.794
gadzuda01,33,10,207.5,240,7248325,0,2,0,4,0,0,0
gainesu01,25,,182.5,185,89670,102,271,0.376,81,291,59,0.615
gainesu01,25,,182.5,185,237626,102,271,0.376,81,291,59,0.615
gallida01,24,5,205,225,3304560,364,871,0.418,302,1149,286,0.822
garcifr01,32,8,197.5,195,5500000,86,223,0.386,78,236,10,0.588
garneke01,37,18,207.5,220,18800000,130,304,0.428,246,294,34,0.872
gasolma01,29,5,212.5,265,3480000,137,307,0.446,142,361,87,0.813
gasolpa01,33,12,210,227,17823000,306,653,0.469,354,749,133,0.751
gayru01,27,7,200,230,13603750,335,733,0.457,210,897,183,0.817
geeal01,26,4,195,220,76219,46,121,0.38,70,124,21,0.75
geeal01,26,4,195,220,125538,46,121,0.38,70,124,21,0.75
geeal01,26,4,195,220,479735,46,121,0.38,70,124,21,0.75
georgpa01,23,3,200,210,2238360,391,885,0.442,293,1144,240,0.854
gibsoda01,26,7,185,190,4015334,84,247,0.34,55,250,26,0.703
gibsota01,28,4,202.5,225,1117680,252,527,0.478,215,631,127,0.734
ginobma01,36,11,195,210,11854584,176,391,0.45,119,507,96,0.865
gomesry01,31,7,197.5,250,4000000,3,8,0.375,4,6,0,0
goodedr01,31,11,205,230,5760000,20,61,0.328,18,52,11,0.688
gordobe01,30,9,187.5,200,10800000,35,98,0.357,24,92,15,0.789
gordoer01,25,5,187.5,222,3016680,274,639,0.429,107,751,132,0.776
gortama01,29,6,207.5,240,6322320,256,487,0.526,324,605,92,0.719
grangda01,30,8,200,225,10973202,72,202,0.356,74,218,47,0.959
grayaa01,29,6,210,270,1028840,18,44,0.409,48,45,9,0.5
greenda02,26,4,195,210,94154,114,281,0.406,127,323,29,0.853
greendo01,23,4,207.5,226,1116840,108,266,0.406,114,285,44,0.8
greenwi01,32,10,190,200,3976000,69,181,0.381,44,187,24,0.857
griffbl01,24,3,205,251,5357280,482,898,0.537,401,1293,320,0.702
haddaha01,27,,215,254,1600000,35,82,0.427,68,84,14,0.519
hamilri01,34,14,195,185,12500000,204,475,0.429,67,490,66,0.857
hansbty01,28,4,202.5,250,1998600,52,112,0.464,91,184,80,0.721
haranlu01,24,,200,246,473604,23,65,0.354,33,60,9,0.75
hardeja01,24,4,192.5,220,4304520,314,708,0.444,167,1040,323,0.854
harrial01,33,15,202.5,230,5765000,19,52,0.365,10,55,5,0.714
harride01,30,9,187.5,185,8981000,31,73,0.425,14,98,28,0.824
hasleud01,33,10,200,230,3500000,27,70,0.386,50,69,15,0.556
hawessp01,25,6,210,245,2974320,257,564,0.456,350,670,77,0.778
hayesch01,30,8,195,240,1972500,37,87,0.425,90,90,16,0.8
haywago01,23,3,200,207,2356320,257,630,0.408,202,735,169,0.833
haywala01,26,3,195,225,1020960,2,10,0.2,4,10,6,1
haywobr01,33,12,210,268,6900000,93,216,0.431,165,216,30,0.455
hendege02,26,4,192.5,215,2103840,286,678,0.422,194,778,187,0.779
henryxa01,22,3,195,220,2020200,102,240,0.425,68,313,89,0.622
hibbero01,27,5,215,278,1685280,230,494,0.466,244,608,146,0.753
hicksjj01,25,5,202.5,242,1528920,238,469,0.507,318,583,107,0.546
hilarne01,31,11,207.5,260,11360000,230,476,0.483,202,594,133,0.607
hillge01,27,5,185,180,1157160,183,406,0.451,153,530,99,0.839
hillgr01,40,,200,225,3324000,38,98,0.388,43,93,14,0.583
hilljo01,26,4,205,235,2669520,173,317,0.546,224,423,77,0.631
hinriki01,33,10,187.5,190,9000000,118,323,0.365,94,337,63,0.808
holidjr01,23,4,187.5,180,1627920,203,454,0.447,114,487,51,0.81
holliry01,29,7,210,230,2333333,41,56,0.732,51,109,27,0.587
horfoal01,27,6,205,245,5444857,238,420,0.567,178,538,58,0.682
howardw01,28,9,207.5,240,16647180,352,609,0.578,475,975,269,0.543
howarjo01,32,10,197.5,210,3000000,31,77,0.403,27,74,7,0.583
howarju01,39,19,202.5,240,1352181,10,19,0.526,8,21,1,1
hudsole01,27,3,187.5,190,192791,62,162,0.383,39,174,34,0.829
humphkr01,28,9,202.5,235,3200000,135,270,0.5,188,336,66,0.868
ibakase01,24,4,205,220,1204200,348,635,0.548,319,794,84,0.778
iguodan01,30,9,195,207,12345250,143,297,0.481,154,385,52,0.591
ilyaser01,26,5,202.5,235,2320500,153,408,0.375,157,391,57,0.826
iveyro01,32,9,187.5,200,1200000,0,2,0,1,0,0,0
jackja01,30,8,187.5,202,4600000,157,396,0.396,117,421,67,0.827
jacksst02,35,13,200,218,8453250,6,26,0.231,8,15,2,0.5
jamesda01,25,3,197.5,225,1156320,0,0,0,1,0,0,0
jamesle01,29,10,200,240,14500000,458,800,0.573,282,1251,272,0.753
jamisan01,37,15,200,223,13358905,29,92,0.315,46,84,18,0.72
jeffeal01,29,9,205,265,13000000,366,749,0.489,352,841,107,0.673
jefferi01,33,12,197.5,222,8400000,173,394,0.439,136,504,83,0.769
jeffrja01,31,11,207.5,230,6883800,16,54,0.296,34,44,12,0.522
jennibr01,24,4,182.5,169,2331120,295,770,0.383,115,871,184,0.79
jerebjo01,26,3,205,231,762195,37,76,0.487,43,102,19,0.704
jianlyi01,24,,210,238,4050499,31,82,0.378,37,79,14,0.667
johnsam01,26,8,202.5,210,5000000,218,402,0.542,215,517,68,0.716
johnsar02,22,,187.5,195,473604,20,43,0.465,12,47,6,1
johnsch03,27,3,207.5,210,27859,48,75,0.64,40,117,21,0.618
johnsch03,27,3,207.5,210,136509,48,75,0.64,40,117,21,0.618
johnsja01,26,4,202.5,245,1713600,92,204,0.451,74,229,30,0.857
johnsjo02,32,12,200,225,16324500,265,597,0.444,123,717,95,0.812
johnstr01,27,,192.5,218,89670,8,14,0.571,9,21,5,1
johnswe01,26,3,197.5,205,3726600,168,399,0.421,150,437,37,0.822
jonesda02,32,10,195,210,2500000,82,222,0.369,77,262,87,0.77
jonesja02,33,10,200,225,1069509,11,26,0.423,5,37,4,0.571
jonesso01,29,7,205,230,1500000,6,17,0.353,8,14,2,0.5
jordade01,25,5,207.5,250,854389,217,331,0.656,535,541,107,0.437
kamanch01,31,10,210,268,11800000,109,214,0.509,116,253,35,0.761
kaponja01,30,,200,213,6641440,21,55,0.382,12,54,4,1
kiddja01,39,,190,205,8610500,152,409,0.372,273,458,40,0.833
kleizli01,28,7,200,245,4995000,48,144,0.333,42,148,32,0.842
korveky01,32,10,197.5,210,5000000,186,388,0.479,164,538,47,0.922
koufoko01,24,5,210,265,1352640,150,311,0.482,184,340,40,0.625
landrca01,30,6,202.5,248,3000000,18,39,0.462,29,44,8,0.8
lawsoty01,26,4,177.5,195,1546560,263,606,0.434,128,810,234,0.804
leeco01,28,5,192.5,200,1409040,178,353,0.504,84,456,58,0.879
leeda02,30,8,202.5,249,10800000,367,711,0.516,341,919,185,0.804
lewisra02,34,15,205,215,19573711,70,166,0.422,62,187,12,0.75
linje01,25,3,187.5,200,473604,185,401,0.461,96,555,140,0.805
livinsh01,28,8,197.5,182,3500000,141,307,0.459,106,379,96,0.857
lopezbr01,25,5,210,260,2413320,129,229,0.563,63,352,94,0.817
lopezro01,25,5,210,255,1867320,213,400,0.533,224,540,114,0.792
loveke01,25,5,205,260,3638280,407,896,0.454,489,1260,338,0.82
lowryky01,27,7,180,175,5750000,278,643,0.432,173,851,170,0.798
lucasjo02,31,5,177.5,165,208264,58,171,0.339,27,147,9,0.643
maggeco01,33,14,195,218,9600000,27,76,0.355,20,95,36,0.75
magloja01,33,,207.5,259,1229255,17,45,0.378,88,41,7,0.259
mahinia01,27,5,207.5,230,762196,50,117,0.427,98,154,54,0.6
mariosh01,35,14,197.5,220,7305500,210,448,0.469,241,501,42,0.808
martica01,29,5,197.5,220,854389,64,150,0.427,54,193,25,0.781
martike01,36,13,202.5,234,16545454,63,123,0.512,98,137,11,0.579
martike02,30,9,197.5,185,11100005,312,731,0.427,133,914,203,0.879
masonro01,33,9,192.5,200,1400000,25,67,0.373,21,74,7,1
matthwe02,27,4,192.5,220,5765000,293,627,0.467,170,860,140,0.833
maxieja01,30,8,197.5,260,5000000,47,102,0.461,57,107,13,0.481
maynoer01,26,4,187.5,175,1417800,21,72,0.292,17,52,2,0.667
mbahalu01,27,5,200,230,854389,52,117,0.444,60,137,31,0.646
mcgeeja01,26,5,210,237,1601040,17,38,0.447,7,35,1,1
mcgratr01,32,15,200,210,1352181,101,231,0.437,131,273,56,0.675
mcguido01,27,6,202.5,220,884120,24,56,0.429,59,51,3,0.3
mcrobjo01,26,6,205,240,885120,153,355,0.431,203,402,33,0.688
meeksjo01,26,4,190,208,762195,231,515,0.449,114,690,122,0.841
milescj01,26,8,195,210,3700000,172,392,0.439,82,484,61,0.859
milicda01,27,,210,250,4325000,0,1,0,1,0,0,0
millean02,37,14,185,200,7269264,66,144,0.458,57,176,35,0.745
millebr01,35,,207.5,244,4400000,9,27,0.333,15,35,10,0.833
millemi01,33,13,200,218,5000000,118,263,0.449,116,326,32,0.865
millspa01,28,7,200,245,7600000,313,675,0.464,300,850,178,0.739
millspa02,25,4,180,185,937195,176,372,0.473,70,481,48,0.873
mohamna01,36,15,205,221,6883800,28,81,0.346,61,70,14,0.583
monrogr01,23,3,207.5,253,2798040,294,567,0.519,291,728,140,0.642
moonja01,31,,200,205,3000000,7,24,0.292,20,18,2,1
morroan01,28,5,192.5,210,4000000,110,236,0.466,53,294,27,0.794
mozgoti01,27,3,212.5,250,3567096,158,285,0.554,190,425,109,0.747
mulleby01,24,4,210,275,1204200,26,64,0.406,25,67,2,0.333
murphtr01,32,,207.5,245,11968253,22,61,0.361,42,65,10,0.909
najered01,35,,200,240,3000000,24,64,0.375,39,58,2,0.5
nashst01,39,17,187.5,195,10310938,26,71,0.366,14,74,16,0.889
nealga01,29,3,190,210,525000,97,258,0.376,41,277,44,0.83
nelsoja01,31,9,180,190,7800000,220,541,0.407,147,627,77,0.885
noahjo01,28,6,207.5,232,3128536,209,451,0.463,365,561,143,0.726
nocioan01,32,,197.5,225,6850000,5,20,0.25,13,17,6,0.545
novakst01,30,7,205,220,350179,35,93,0.376,30,106,5,1
novakst01,30,7,205,220,384766,35,93,0.376,30,106,5,1
nowitdi01,35,15,210,237,17278618,394,803,0.491,283,1094,225,0.911
odomla01,33,14,205,220,8200000,146,366,0.399,363,330,20,0.476
okafoem01,30,9,205,252,11495000,328,687,0.477,493,765,109,0.571
okurme01,32,,207.5,249,9945000,52,139,0.374,59,130,3,0.6
ortonda01,23,2,205,255,1028400,21,47,0.447,45,65,23,0.767
outlatr01,29,10,202.5,210,7000000,59,157,0.376,77,163,27,0.9
owensla01,29,,197.5,210,55718,4,11,0.364,11,13,3,0.75
pachuza01,29,10,207.5,240,4251250,54,135,0.4,77,169,61,0.938
parkean01,36,,195,215,2855700,141,326,0.433,128,367,35,0.625
parketo01,31,12,185,180,13500000,330,659,0.501,98,833,152,0.8
pattepa01,24,3,202.5,235,1823280,173,362,0.478,160,422,43,0.729
paulch01,28,8,180,175,14940153,231,497,0.465,139,672,168,0.866
pavloal01,29,10,200,220,67432,42,119,0.353,49,103,1,0.167
pavloal01,29,10,200,220,134863,42,119,0.353,49,103,1,0.167
pekovni01,28,3,207.5,243,4000000,320,601,0.532,223,794,154,0.751
petrojo01,27,8,210,247,3250000,48,110,0.436,79,108,11,0.917
piercpa01,36,15,195,230,13876321,181,430,0.421,190,580,162,0.839
pietrmi01,30,10,195,215,5300000,34,98,0.347,31,100,12,0.667
pittmde01,24,3,207.5,308,473604,4,11,0.364,5,8,0,0
pondequ01,25,3,195,225,1073280,31,79,0.392,16,94,21,0.808
priceaj01,27,4,185,181,762195,15,36,0.417,8,35,0,0
pricero01,30,8,185,190,1380000,15,46,0.326,24,39,3,0.6
princta01,33,11,202.5,215,11148760,120,315,0.381,127,278,24,0.585
przybjo01,33,13,212.5,255,7405300,1,4,0.25,16,2,0,0
radmavl01,32,12,205,227,6883800,13,43,0.302,18,33,2,0.667
randoan01,24,5,205,205,1965720,36,89,0.404,56,118,37,0.804
randoza01,32,12,202.5,253,17666666,337,744,0.453,344,840,166,0.748
reddmi01,32,,195,220,18300000,144,360,0.4,63,418,88,0.793
redicjj01,29,7,190,190,7250000,161,351,0.459,54,470,85,0.914
richaja01,32,12,195,220,14444444,135,336,0.402,108,347,20,0.606
richaqu01,32,13,195,223,2265000,1,11,0.091,5,5,2,1
ridnolu01,32,10,185,175,4000000,84,219,0.384,47,206,13,0.684
robinna01,29,8,172.5,180,4200000,164,383,0.428,60,457,71,0.835
rondora01,27,7,182.5,171,9090911,36,92,0.391,44,82,3,0.5
rosede01,25,4,187.5,190,5546160,58,164,0.354,23,159,27,0.844
rushbr01,28,5,195,210,2069049,25,67,0.373,30,65,3,0.75
salmojo01,34,11,197.5,210,8000000,105,284,0.37,88,284,28,0.824
samuesa01,24,,202.5,260,500000,22,60,0.367,18,58,14,0.583
sandela01,25,3,207.5,235,1731960,76,162,0.469,105,178,26,0.473
scalabr01,33,,202.5,241,1229255,14,30,0.467,13,32,3,0.5
scolalu01,33,6,202.5,245,7775378,170,367,0.463,211,401,60,0.741
sefolth01,29,7,192.5,215,3250000,124,294,0.422,144,338,48,0.762
serapke01,24,3,202.5,264,1563120,91,174,0.523,56,207,25,0.862
sessira01,27,6,187.5,190,3964320,175,436,0.401,86,542,179,0.789
simmobo01,31,,197.5,210,71951,28,90,0.311,38,80,4,0.571
skinnbr01,35,,202.5,255,270436,0,1,0,0,0,0,0
smithcr01,28,,197.5,250,2300000,59,117,0.504,77,156,38,0.717
smithis01,25,3,180,175,473604,63,168,0.375,42,136,9,0.529
smithja02,27,5,210,240,2187913,131,282,0.465,130,301,39,0.78
smithjo03,28,9,202.5,225,11600000,329,785,0.419,280,815,116,0.566
smithjr01,28,9,195,220,6757851,210,540,0.389,155,572,56,0.609
speigma01,26,5,205,245,1773960,119,276,0.431,113,318,72,0.837
splitti01,29,3,207.5,232,3400000,105,193,0.544,139,277,67,0.691
stackje01,38,18,195,218,222712,66,172,0.384,28,182,20,0.87
stephla01,23,3,192.5,210,750000,277,548,0.505,287,692,90,0.698
stevede01,31,13,192.5,210,4151786,98,262,0.374,104,284,12,0.522
stuckro01,27,6,192.5,205,2767126,227,501,0.453,78,614,144,0.814
summeda01,25,4,200,240,762195,1,4,0.25,2,2,0,0
teaguje01,25,4,185,180,1476840,258,628,0.411,98,741,193,0.828
telfase01,27,9,180,165,2700000,112,309,0.362,71,331,54,0.783
terryja01,36,14,185,176,10650000,54,146,0.37,32,156,10,0.667
thabeha01,26,4,217.5,263,4793280,5,8,0.625,10,10,0,0
thomaku01,40,,202.5,230,1352181,45,83,0.542,65,97,6,0.462
thomaty01,26,7,202.5,215,6611570,48,136,0.353,44,125,26,0.839
thompja02,27,5,207.5,250,2178000,170,335,0.507,236,398,58,0.659
thornma01,26,4,190,205,762195,137,360,0.381,85,369,42,0.808
tinslja01,35,10,187.5,195,5500000,4,20,0.2,9,9,0,0
tollian01,28,5,200,240,2200000,76,177,0.429,94,229,15,0.789
turiaro01,31,8,205,249,4000000,36,63,0.571,75,81,9,0.391
turkohe01,34,13,205,220,10215850,12,29,0.414,35,32,5,0.455
turneev01,25,3,197.5,205,4602720,344,799,0.431,262,907,182,0.831
udohek01,26,3,205,240,3065040,49,122,0.402,77,127,29,0.644
udrihbe01,31,9,187.5,205,6478600,68,160,0.425,47,173,20,0.833
uzohbe01,23,,187.5,205,473604,35,99,0.354,48,81,11,0.579
varejan01,31,9,205,230,7281818,175,363,0.482,341,421,71,0.696
vasqugr01,27,3,195,200,1035960,137,358,0.383,84,374,57,0.877
villach01,29,8,207.5,240,7020000,25,65,0.385,18,65,6,0.6
wadedw01,32,10,190,212,14200000,276,504,0.548,139,674,113,0.724
wafervo01,26,,192.5,210,915852,71,157,0.452,39,194,38,0.704
walkebi01,24,,195,220,854389,68,171,0.398,71,189,17,0.85
wallabe01,37,,202.5,240,2080000,34,86,0.395,188,85,16,0.34
wallage01,31,12,197.5,215,10500000,96,187,0.513,155,247,37,0.43
walljo01,23,3,190,195,5144280,358,843,0.425,195,1005,229,0.839
waltolu01,32,10,200,235,5260000,71,181,0.392,107,172,10,0.5
warriha01,30,,202.5,219,4250000,67,165,0.406,68,194,60,0.682
watsocj01,29,6,185,180,3100000,111,266,0.417,68,315,54,0.783
watsoea01,34,12,182.5,195,1229255,2,5,0.4,5,7,2,1
webstma02,27,8,197.5,210,4800000,180,403,0.447,141,533,69,0.852
westbru01,25,5,187.5,187,4017720,190,448,0.424,122,533,119,0.793
westda01,33,10,202.5,240,8287500,293,593,0.494,266,700,111,0.771
westde01,28,,190,180,1069509,166,360,0.461,88,421,62,0.886
whitedj01,26,5,202.5,251,1108680,12,23,0.522,9,29,5,0.556
whiteha01,22,,210,235,730437,12,27,0.444,23,29,5,0.417
wilcoch01,30,11,205,221,3000000,110,153,0.719,125,259,39,0.672
wilkida02,33,9,195,225,748656,145,316,0.459,73,388,81,0.743
willide01,29,8,187.5,210,14940152,158,343,0.461,76,439,76,0.768
williel01,24,1,192.5,180,1254720,61,161,0.379,47,189,46,0.697
willilo02,27,8,185,175,5000000,110,293,0.375,60,338,67,0.838
willima01,31,10,182.5,185,9300000,169,428,0.395,68,435,43,0.86
willima02,27,8,202.5,230,6712500,153,341,0.449,159,401,32,0.78
willire02,26,4,195,210,762195,57,132,0.432,43,146,10,0.476
willish02,28,,202.5,250,915852,96,201,0.478,209,268,76,0.731
willish03,27,5,202.5,225,885210,63,168,0.375,131,176,13,0.722
willite01,25,,195,220,2214480,48,97,0.495,40,110,9,0.429
wrighbr03,26,5,202.5,205,3398072,111,164,0.677,71,273,51,0.739
wrighdo01,28,9,197.5,200,3500000,55,157,0.35,65,172,24,0.75
youngni01,28,6,195,200,2630503,273,652,0.419,107,811,184,0.833
youngsa01,27,4,195,220,886000,58,148,0.392,97,155,23,0.535
