PLAYERID,AGE,EXPERIENCE,HEIGHT,WEIGHT,SALARY,FG,FGA,FGP,DRB,POINTS,FT,FTP
adrieje01,27,3,197.5,243,342666,20,38,0.526,53,53,13,0.52
afflaar01,28,6,192.5,215,1959577,333,719,0.463,181,958,200,0.823
alabiso01,23,2,212.5,251,770000,13,36,0.361,32,33,7,0.875
aldrico01,25,3,207.5,245,2126520,7,17,0.412,38,20,6,0.75
aldrila01,28,7,207.5,240,11244000,503,1071,0.47,465,1230,223,0.817
allenra02,38,17,192.5,205,10000000,143,329,0.435,118,420,72,0.9
allento01,32,9,190,213,3000000,113,229,0.493,60,276,45,0.682
aminual01,23,3,202.5,215,2563320,156,335,0.466,248,369,50,0.625
amundlo01,31,7,202.5,225,2225000,16,32,0.5,27,38,6,0.25
anderch01,35,11,205,230,4533300,103,153,0.673,127,275,68,0.687
anderja01,24,3,195,215,1361400,201,446,0.451,165,518,58,0.725
anderry01,25,5,205,240,1409040,155,354,0.438,76,436,59,0.952
anthoca01,29,10,200,230,17149243,460,1026,0.448,307,1302,286,0.844
anthojo01,31,6,202.5,245,3300000,4,11,0.364,9,10,2,1
arenagi01,30,,187.5,191,17730694,26,64,0.406,16,72,7,0.7
arizatr01,28,9,200,200,6322320,222,505,0.44,219,636,90,0.769
artesro01,34,14,195,244,6322320,56,139,0.403,40,139,10,0.625
asikom01,27,3,210,255,1721000,26,55,0.473,96,78,26,0.634
augusdj01,26,5,180,180,2540400,145,354,0.41,54,437,83,0.883
azubuke01,28,,192.5,220,3300000,3,8,0.375,0,7,0,0
babbilu01,24,3,202.5,225,1645440,7,19,0.368,10,20,0,0
balkmre01,27,6,200,208,1675000,16,32,0.5,20,42,8,0.727
barbole01,31,10,187.5,176,7100000,48,109,0.44,25,130,29,0.806
bareajo01,29,7,180,175,1815000,170,430,0.395,92,441,50,0.781
bargnan01,28,7,210,225,8500000,222,502,0.442,153,558,84,0.824
barnema02,33,10,197.5,235,1765000,93,242,0.384,112,259,36,0.706
barroea01,31,7,210,245,188558,18,51,0.353,39,39,3,0.429
bassbr01,28,8,200,240,4000000,219,461,0.475,218,573,133,0.853
battish01,35,12,200,220,7354500,74,174,0.425,63,214,13,0.722
battito01,35,,207.5,230,1352181,19,51,0.373,59,42,4,1
batumni01,25,5,200,200,1196760,229,504,0.454,262,654,112,0.818
bayleje01,25,5,187.5,200,2292600,138,366,0.377,71,369,58,0.784
beaslmi01,25,5,202.5,235,4962240,115,228,0.504,96,290,46,0.742
