player_id,salary,team_code,HEIGHT,experience,AGE,PLAYER_SEASON_STATS_FG,PLAYER_SEASON_STATS_FGA,PLAYER_SEASON_STATS_FGP,PLAYER_SEASON_STATS_TRB,PLAYER_SEASON_STATS_PTS,num_pos
waltolu01,5260000.0,LAL,200,10,33,38,116,0.328,67,91,2
westbru01,4017720.0,OKC,187.5,5,25,614,1390,0.442,379,1793,1
westda01,8287500.0,NOH,202.5,10,33,528,1040,0.508,529,1322,2
westde01,1069509.0,BOS,190,,,55,120,0.458,37,135,2
whitedj01,1108680.0,OKC,202.5,5,27,30,65,0.462,52,65,2
whiteha01,730437.0,SAC,210,,,0,0,0,0,0,1
willide01,14940152.0,UTA,187.5,8,29,369,806,0.458,205,1129,1
willilo02,5000000.0,PHI,185,8,27,323,795,0.406,149,1027,2
willima02,6712500.0,ATL,202.5,8,27,246,537,0.458,313,676,2
willire02,762195.0,GSW,195,4,27,268,572,0.469,216,738,3
willite01,2214480.0,NJN,195,,,29,73,0.397,36,67,2
wrighbr03,3398072.0,GSW,202.5,5,26,38,63,0.603,41,83,3
youngni01,2630503.0,WAS,195,6,28,412,935,0.441,174,1115,1
youngsa01,886000.0,MEM,195,4,28,233,494,0.472,187,572,2
youngth01,2901241.0,PHI,200,6,25,458,847,0.541,434,1045,1
