player_id,salary,team_code,HEIGHT,experience,AGE,PLAYER_ID,PLAYER_SEASON_STATS_SEASON,PLAYER_SEASON_STATS_TEAM_code,PLAYER_SEASON_STATS_LEAGUE,PLAYER_SEASON_STATS_FTA,PLAYER_SEASON_STATS_POSITION,PLAYER_SEASON_STATS_G,PLAYER_SEASON_STATS_GS,PLAYER_SEASON_STATS_MP,PLAYER_SEASON_STATS_FG,PLAYER_SEASON_STATS_FGA,PLAYER_SEASON_STATS_FGP,PLAYER_SEASON_STATS_3P,PLAYER_SEASON_STATS_3PA,PLAYER_SEASON_STATS_3PP,PLAYER_SEASON_STATS_2P,PLAYER_SEASON_STATS_2PA,PLAYER_SEASON_STATS_2PP,PLAYER_SEASON_STATS_FT,PLAYER_SEASON_STATS_FTP,PLAYER_SEASON_STATS_ORB,PLAYER_SEASON_STATS_DRB,PLAYER_SEASON_STATS_TRB,PLAYER_SEASON_STATS_AST,PLAYER_SEASON_STATS_STL,PLAYER_SEASON_STATS_BLK,PLAYER_SEASON_STATS_TOV,PLAYER_SEASON_STATS_PLAYER_SEASON_STATS_PF,PLAYER_SEASON_STATS_PTS
lawsoty01,1546560.0,DEN,177.5,4,26,lawsoty01,2010-11,DEN,NBA,225,PG,80,31,2103,346,688,0.503,69,171,0.404,277,517,0.536,172,0.764,67,142,209,377,80,4,137,133,933
koufoko01,1352640.0,DEN,210,5,24,koufoko01,2010-11,DEN,NBA,19,C,11,1,98,21,42,0.5,0,0,0.0,21,42,0.5,12,0.632,15,18,33,0,2,5,6,9,54
forbega01,473604.0,DEN,197.5,2,28,forbega01,2010-11,DEN,NBA,87,SF,63,11,791,124,273,0.454,19,58,0.328,105,215,0.488,59,0.678,28,88,116,49,23,6,46,77,326
anthoca01,17149243.0,NYK,200,10,29,anthoca01,2010-11,NYK,NBA,188,SF,27,27,977,247,536,0.461,53,125,0.424,194,411,0.472,164,0.872,41,140,181,81,25,15,64,90,711
billuch01,13150000.0,NYK,187.5,16,37,billuch01,2010-11,NYK,NBA,132,PG,21,21,664,104,258,0.403,41,125,0.328,63,133,0.474,119,0.902,13,52,65,116,19,2,48,52,368
turiaro01,4000000.0,NYK,205,8,31,turiaro01,2010-11,NYK,NBA,98,C,64,21,1141,103,163,0.632,0,0,0.0,103,163,0.632,61,0.622,64,143,207,92,35,73,41,160,267
balkmre01,1675000.0,NYK,200,6,29,balkmre01,2010-11,NYK,NBA,0,SF,3,0,18,1,4,0.25,1,2,0.5,0,2,0.0,0,0.0,1,2,3,0,1,0,1,4,3
masonro01,1400000.0,NYK,192.5,9,33,masonro01,2010-11,NYK,NBA,10,SG,26,0,319,26,77,0.338,16,44,0.364,10,33,0.303,7,0.7,5,38,43,20,6,2,6,25,75
cartean01,1352181.0,NYK,182.5,,,cartean01,2010-11,NYK,NBA,6,PG,19,0,310,35,76,0.461,8,28,0.286,27,48,0.563,6,1.0,7,32,39,43,18,5,25,30,84
douglto01,1071000.0,NYK,185,4,27,douglto01,2010-11,NYK,NBA,107,SG,81,9,1971,314,755,0.416,143,383,0.373,171,372,0.46,85,0.794,65,179,244,244,89,4,89,177,856
willish02,915852.0,NYK,202.5,,,willish02,2010-11,NYK,NBA,29,PF,17,6,198,21,39,0.538,0,0,0.0,21,39,0.538,24,0.828,19,31,50,13,5,4,6,34,66
willish03,885210.0,NYK,202.5,5,27,willish03,2010-11,NYK,NBA,49,PF,64,11,1323,164,385,0.426,85,212,0.401,79,173,0.457,41,0.837,60,179,239,47,39,51,46,164,454
walkebi01,854389.0,NYK,195,,,walkebi01,2010-11,NYK,NBA,44,SG,61,1,784,104,236,0.441,59,153,0.386,45,83,0.542,31,0.705,16,106,122,34,21,6,37,81,298
fieldla01,473604.0,NYK,197.5,3,25,fieldla01,2010-11,NYK,NBA,147,SG,82,81,2541,299,602,0.497,86,219,0.393,213,383,0.556,113,0.769,105,416,521,155,80,17,107,114,797
martike02,11100005.0,HOU,197.5,9,31,martike02,2010-11,HOU,NBA,669,SG,80,80,2603,553,1267,0.436,176,459,0.383,377,808,0.467,594,0.888,28,230,258,198,80,15,184,155,1876
scolalu01,7775378.0,HOU,202.5,6,33,scolalu01,2010-11,HOU,NBA,290,PF,74,74,2412,569,1129,0.504,0,3,0.0,569,1126,0.505,214,0.738,147,459,606,185,48,44,147,227,1352
jeffrja01,6883800.0,HOU,207.5,11,32,jeffrja01,2010-11,HOU,NBA,10,PF,18,0,138,11,36,0.306,1,6,0.167,10,30,0.333,4,0.4,20,15,35,11,7,3,4,21,27
lowryky01,5750000.0,HOU,180,7,27,lowryky01,2010-11,HOU,NBA,251,PG,75,71,2563,345,809,0.426,129,343,0.376,216,466,0.464,192,0.765,89,220,309,500,102,23,158,207,1011
thabeha01,4793280.0,HOU,217.5,4,26,thabeha01,2010-11,HOU,NBA,0,C,2,0,4,0,1,0,0,0,0.0,0,1,0.0,0,0.0,0,0,0,0,0,1,0,3,0
millebr01,4400000.0,HOU,207.5,,,millebr01,2010-11,HOU,NBA,94,C,60,5,1015,132,296,0.446,40,107,0.374,92,189,0.487,78,0.83,44,178,222,145,28,21,54,98,382
hilljo01,2669520.0,HOU,205,4,26,hilljo01,2010-11,HOU,NBA,85,C,72,11,1125,173,352,0.491,0,2,0.0,173,350,0.494,60,0.706,128,178,306,29,14,52,62,157,406
willite01,2214480.0,HOU,195,,,willite01,2010-11,HOU,NBA,11,SG,11,0,84,14,42,0.333,2,10,0.2,12,32,0.375,9,0.818,1,14,15,7,4,0,8,4,39
hayesch01,1972500.0,HOU,195,8,30,hayesch01,2010-11,HOU,NBA,142,C,74,63,2079,244,463,0.527,0,2,0.0,244,461,0.529,94,0.662,219,380,599,202,79,49,86,200,582
dragigo01,1972000.0,HOU,190,5,27,dragigo01,2010-11,HOU,NBA,36,PG,22,3,378,59,125,0.472,28,54,0.519,31,71,0.437,24,0.667,12,44,56,55,14,4,21,35,170
pattepa01,1823280.0,HOU,202.5,3,24,pattepa01,2010-11,HOU,NBA,42,PF,52,6,868,149,267,0.558,0,2,0.0,149,265,0.562,30,0.714,86,114,200,41,17,37,31,77,328
leeco01,1409040.0,HOU,192.5,5,28,leeco01,2010-11,HOU,NBA,120,SG,81,1,1723,253,576,0.439,71,174,0.408,182,402,0.453,95,0.792,51,158,209,100,58,18,68,102,672
carrode01,1085400.0,HOU,200,4,27,carrode01,2010-11,HOU,NBA,0,PF,5,0,11,0,3,0,0,0,0.0,0,3,0.0,0,0.0,0,0,0,2,0,0,0,0,0
budinch01,780871.0,HOU,197.5,4,25,budinch01,2010-11,HOU,NBA,138,SF,78,22,1738,279,656,0.425,89,274,0.325,190,382,0.497,118,0.855,52,229,281,127,41,18,67,114,765
cartevi01,17300000.0,PHO,195,15,37,cartevi01,2010-11,PHO,NBA,98,SG,51,41,1387,264,625,0.422,89,243,0.366,175,382,0.458,72,0.735,43,142,185,82,47,17,54,123,689
nashst01,10310938.0,PHO,187.5,17,40,nashst01,2010-11,PHO,NBA,249,PG,75,75,2497,399,811,0.492,81,205,0.395,318,606,0.525,227,0.912,40,220,260,855,48,4,265,87,1106
childjo01,6500000.0,PHO,200,7,30,childjo01,2010-11,PHO,NBA,59,SG,54,3,894,121,214,0.565,1,16,0.063,120,198,0.606,29,0.492,69,86,155,42,33,23,44,68,272
gortama01,6322320.0,PHO,207.5,6,29,gortama01,2010-11,PHO,NBA,175,C,55,12,1636,294,522,0.563,1,4,0.25,293,518,0.566,128,0.731,110,403,513,53,29,70,64,136,717
pietrmi01,5300000.0,PHO,195,10,32,pietrmi01,2010-11,PHO,NBA,51,SG,38,4,689,98,250,0.392,51,149,0.342,47,101,0.465,36,0.706,9,67,76,23,19,18,25,66,283
fryech01,5200000.0,PHO,207.5,7,30,fryech01,2010-11,PHO,NBA,107,PF,77,64,2541,358,829,0.432,171,439,0.39,187,390,0.479,89,0.832,65,448,513,96,46,79,73,272,976
warriha01,4250000.0,PHO,202.5,,,warriha01,2010-11,PHO,NBA,294,PF,80,6,1416,228,446,0.511,1,11,0.091,227,435,0.522,212,0.721,88,208,296,69,32,9,79,100,669
hillgr01,3324000.0,PHO,200,,,hillgr01,2010-11,PHO,NBA,257,SF,80,80,2409,399,825,0.484,45,114,0.395,354,711,0.498,213,0.829,77,261,338,200,64,35,134,184,1056
